fID,eID,K,weights,algorithm
51d170bf-4964-4990-b3b1-6cb4310b1e4a,22121061-01be-4db7-9dbd-a3324892a506,17,uniform,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,e6f066f1-3c65-4f81-9b1a-65cf5fe20bdc,17,uniform,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,580c2971-01a2-4efa-8c3b-0af943971c91,17,distance,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,6b01bc60-be98-431e-aea8-5826173f2adf,17,distance,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,25cf43dc-1a98-414d-9a65-f38b64c9fe84,17,distance,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,4b9fef24-5502-493c-a0f8-42433d4b6fb4,19,uniform,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,44fe97c2-b831-4a8b-beae-37b88f5975e4,19,uniform,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,aa435401-04a1-4198-aebf-7273b1bc886f,19,uniform,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,a1d6527b-75d7-4a69-8d34-5d1788c3e05f,19,distance,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,4abe599c-3172-4192-9feb-f82efadec2aa,19,distance,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,6b27d878-d4db-4739-82fd-473d9a5acee3,19,distance,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,f0aafcfb-a3fd-46f9-a8e1-fc53f23491be,21,uniform,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,99176bda-6d35-4fcb-98a0-19b378b72ce6,21,uniform,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,cfe20a29-eb23-4f5a-8162-db0124fc639e,21,uniform,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,491169d2-4da5-4fa3-9a5b-75bdd286e82f,21,distance,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,88c2b8a1-0881-4e34-8c51-01ba4d2b9b0e,21,distance,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,415e9fac-ef43-4dd2-ae58-3bfb5923e435,21,distance,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,03999bc5-c90b-4d3f-9c81-8dac8a08ea5f,23,uniform,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,cf234764-86b9-421c-afa3-dcbd2ede08c4,23,uniform,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,38e0a13d-a84f-418b-b519-165d6441b4fb,23,uniform,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,0825faf4-a922-4dc6-8dc1-3317e2e04c39,23,distance,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,a9ca5f17-4286-4cdb-bf83-5ab0dda97d6a,23,distance,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,b2931b4a-5e68-4cc6-873e-a100f6347c7b,23,distance,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,f6a31b15-80f0-4757-bf63-f640da93709f,25,uniform,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,c9381655-4a3f-4be6-8bef-02505b425abf,25,uniform,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,1aea0709-0db7-487b-b8a6-043444f6efb4,25,uniform,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,16b18dc5-a8ce-46ec-b847-02c21e2b5a3c,25,distance,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,12b9c6cf-a36b-45db-9de5-532064751429,25,distance,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,8b7ef18b-c1ca-4ea2-a3a6-1fbc557869bd,25,distance,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,54e41374-cf41-489b-806f-1647da2ca6be,27,uniform,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,53107067-7e45-4f88-a314-7823b1db57e5,27,uniform,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,daf7cafe-b6dc-4250-93f6-b5d8085f6e95,27,uniform,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,9c92f0db-bc39-47bc-bd78-52e0b953db4e,27,distance,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,eff66e5b-900f-4d63-bf2d-fa09d757e2fb,27,distance,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,f2d4ede9-2b9c-4ca4-b20f-6412e811293d,27,distance,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,f45d4663-53b2-4c01-a781-4c4a9f89932e,29,uniform,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,8246d9ff-177d-4abd-a4b1-cb61960eef88,29,uniform,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,b78c306b-ba9a-41d5-bdd1-7056c380fc86,29,uniform,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,133d6836-a232-45c2-ae70-296575b2c191,29,distance,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,9defbb15-2c53-4b61-880c-3eec27ea3d0d,29,distance,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,030e35cc-9807-41a1-8932-4d7f845ae564,29,distance,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,f619805e-8d07-449e-80de-c3d8c5140318,31,uniform,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,d0332cc1-2cce-4a99-9abf-7ae55b023f46,31,uniform,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,dcbbc153-fed6-472e-b29f-a634d3ab8f7f,31,uniform,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,9dfa0dae-1bc4-436c-aad5-29adc69bd235,31,distance,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,00e2d08e-07cd-433d-a5da-277ceaf74f23,31,distance,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,d892051a-c394-41d1-a553-697419582212,31,distance,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,20a56ed6-df85-42b1-bf1b-6082a6722ce8,33,uniform,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,8cfd6195-5ec1-4d28-a9a3-3ee4bbcdea00,33,uniform,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,57a32191-3d4b-4fdd-9888-34a81ceba1eb,33,uniform,brute
