fID,eID,hidden_layer_neurons,solver,activation_fn,max_Iterations,tolerance,Dask Used,Preprocessing Technique,Classifier,Rows,Columns,Classes,Accuracy,F1 Score_1,Precision_1,Recall_1,F1 Score,Precision,Recall,time
51d170bf-4964-4990-b3b1-6cb4310b1e4a,5cbbc78a-e412-4f89-a25b-c6dc776c99ea,"[500, 20]",lbfgs,tanh,100000,0.001,FALSE,None,MLP,1000,21,2,0.772,0.844686649,0.82010582,0.870786517,0.844686649,0.82010582,0.870786517,334.737242
51d170bf-4964-4990-b3b1-6cb4310b1e4a,ffbec68e-7f45-462d-bde9-cc96037a2fa1,"[1000, 20]",lbfgs,tanh,100000,0.001,FALSE,None,MLP,1000,21,2,0.78,0.849315068,0.828877005,0.870786517,0.849315068,0.828877005,0.870786517,683.6453429
51d170bf-4964-4990-b3b1-6cb4310b1e4a,d690d90f-d967-4411-8e5a-1090401f241f,[100],lbfgs,relu,100000,0.001,FALSE,None,MLP,1000,21,2,0.288,0,0,0,0,0,0,0.023196991
51d170bf-4964-4990-b3b1-6cb4310b1e4a,c2c1f8d6-ee3b-48b8-8927-887b5132b81c,[200],lbfgs,relu,100000,0.001,FALSE,None,MLP,1000,21,2,0.288,0,0,0,0,0,0,0.089234209
51d170bf-4964-4990-b3b1-6cb4310b1e4a,96cfa9dd-5711-4a01-9170-de32db776eaa,[500],lbfgs,relu,100000,0.001,FALSE,None,MLP,1000,21,2,0.288,0,0,0,0,0,0,0.209531528
51d170bf-4964-4990-b3b1-6cb4310b1e4a,2d22e88a-13c7-478a-bed1-208865987a2c,[1000],lbfgs,relu,100000,0.001,FALSE,None,MLP,1000,21,2,0.288,0,0,0,0,0,0,0.411215129
51d170bf-4964-4990-b3b1-6cb4310b1e4a,0f0460d0-86b4-478c-b7f9-9f8f464eca72,"[100, 20]",lbfgs,relu,100000,0.001,FALSE,None,MLP,1000,21,2,0.416,0.459259259,0.673913043,0.348314607,0.459259259,0.673913043,0.348314607,0.070886215
51d170bf-4964-4990-b3b1-6cb4310b1e4a,cf51bd37-9b93-4556-bbbb-a915bc64d56d,"[200, 20]",lbfgs,relu,100000,0.001,FALSE,None,MLP,1000,21,2,0.512,0.590604027,0.733333333,0.494382022,0.590604027,0.733333333,0.494382022,0.10433866
51d170bf-4964-4990-b3b1-6cb4310b1e4a,fbfcdad7-2a79-4b67-ab3b-a44700544aa1,"[500, 20]",lbfgs,relu,100000,0.001,FALSE,None,MLP,1000,21,2,0.288,0,0,0,0,0,0,0.112529538
51d170bf-4964-4990-b3b1-6cb4310b1e4a,a0f1c026-b475-41ae-880a-e60cd94dc405,"[1000, 20]",lbfgs,relu,100000,0.001,FALSE,None,MLP,1000,21,2,0.288,0,0,0,0,0,0,0.207866205
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,6ed50365-981a-4b02-9913-f006d19c2990,[100],lbfgs,tanh,100000,0.0001,FALSE,None,MLP,3468,971,2,0.877739331,0.877880184,0.879907621,0.875862069,0.877880184,0.879907621,0.875862069,56.02868942
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,f719a9c1-39ea-41f9-ad30-f67e7bb9a307,[200],lbfgs,tanh,100000,0.0001,FALSE,None,MLP,3468,971,2,0.873125721,0.872685185,0.878787879,0.866666667,0.872685185,0.878787879,0.866666667,58.04817553
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,ef444a61-1b29-4602-a04a-b8440dece6c7,[500],lbfgs,tanh,100000,0.0001,FALSE,None,MLP,3468,971,2,0.871972318,0.871080139,0.88028169,0.862068966,0.871080139,0.88028169,0.862068966,41.005396
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,33c8b162-8af3-4a77-ae21-ef74e21a4a3f,[1000],lbfgs,tanh,100000,0.0001,FALSE,None,MLP,3468,971,2,0.875432526,0.876146789,0.874141876,0.87816092,0.876146789,0.874141876,0.87816092,43.35100312
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,0c5e59b7-315b-4330-b687-704a83e64902,"[100, 20]",lbfgs,tanh,100000,0.0001,FALSE,None,MLP,3468,971,2,0.886966551,0.887614679,0.885583524,0.889655172,0.887614679,0.885583524,0.889655172,151.9192763
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,de712c8a-53d0-466f-bd0b-606bb77073fb,"[200, 20]",lbfgs,tanh,100000,0.0001,FALSE,None,MLP,3468,971,2,0.868512111,0.868663594,0.870669746,0.866666667,0.868663594,0.870669746,0.866666667,47.87288359
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,d75a82d8-f897-49e5-b2be-89093c7a0abd,"[500, 20]",lbfgs,tanh,100000,0.0001,FALSE,None,MLP,3468,971,2,0.871972318,0.870175439,0.885714286,0.855172414,0.870175439,0.885714286,0.855172414,68.3590225
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,6a0c8e71-c60f-44a4-9644-cac10aff6938,"[1000, 20]",lbfgs,tanh,100000,0.0001,FALSE,None,MLP,3468,971,2,0.880046136,0.88045977,0.88045977,0.88045977,0.88045977,0.88045977,0.88045977,48.08370673
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,ae99b274-6f06-4c04-82fa-2f7b070c88c4,[100],lbfgs,relu,100000,0.0001,FALSE,None,MLP,3468,971,2,0.498269896,0,0,0,0,0,0,0.453241997
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,5271cb2a-8612-40b2-ad31-d2fa1332a154,[200],lbfgs,relu,100000,0.0001,FALSE,None,MLP,3468,971,2,0.866205306,0.865740741,0.871794872,0.859770115,0.865740741,0.871794872,0.859770115,4.171494683
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,02cbd7e3-588e-43e4-a7ed-046ca2a853cf,[500],lbfgs,relu,100000,0.0001,FALSE,None,MLP,3468,971,2,0.860438293,0.861079219,0.860091743,0.862068966,0.861079219,0.860091743,0.862068966,8.283804761
