fID,eID,hidden_layer_neurons,solver,activation_fn,max_Iterations,tolerance
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,ae99b274-6f06-4c04-82fa-2f7b070c88c4,[100],lbfgs,relu,100000,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,5271cb2a-8612-40b2-ad31-d2fa1332a154,[200],lbfgs,relu,100000,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,02cbd7e3-588e-43e4-a7ed-046ca2a853cf,[500],lbfgs,relu,100000,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,4c3c8869-12ac-4cd0-8a75-ff1b29dd5dbf,[1000],lbfgs,relu,100000,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,d5c8a7df-e65d-481a-85ec-dc8b728e75ea,"[100, 20]",lbfgs,relu,100000,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,ca9e6c51-7664-4ad2-b04e-31473c39d55e,"[200, 20]",lbfgs,relu,100000,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,a117c58f-b32c-4b7f-9311-b4bcb97e8161,"[500, 20]",lbfgs,relu,100000,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,1ac5be46-3a0a-4a8d-a6a9-94d751e8bdbf,"[1000, 20]",lbfgs,relu,100000,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,50fe6aac-eb3c-4404-b0be-23eb1cbbc7ea,[100],lbfgs,tanh,100000,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,3218a889-9af6-4167-8bd4-ea56e795e18a,[200],lbfgs,tanh,100000,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,fb2388ea-d445-444f-86a2-8f5407d37141,[500],lbfgs,tanh,100000,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,087b8d4c-947c-47be-97cd-ddd60e633215,[1000],lbfgs,tanh,100000,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,5bd95007-0429-4959-9c59-d7bda9ab1530,"[100, 20]",lbfgs,tanh,100000,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,1af1a547-39ba-4fae-95f4-b95498953f97,"[200, 20]",lbfgs,tanh,100000,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,44ec45a8-b21e-4613-bc5f-a6b9daefde0b,"[500, 20]",lbfgs,tanh,100000,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,1949c981-69f8-4f78-a24c-c6d5ebc34ea7,"[1000, 20]",lbfgs,tanh,100000,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,ffa14d67-4f06-483f-b25b-44e695bb45e1,[100],lbfgs,relu,100000,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,4013b20f-49f2-4406-a202-2a6d43003f6c,[200],lbfgs,relu,100000,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,4ea6c839-6a4e-4c14-a985-d5ce00e471c0,[500],lbfgs,relu,100000,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,43cccb85-1096-4c52-95ea-792b2ed57317,[1000],lbfgs,relu,100000,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,0aff063c-e883-4131-94ed-3ff993e44688,"[100, 20]",lbfgs,relu,100000,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,6a26f4d0-722e-403d-acbd-cfc4ec0eeb79,"[200, 20]",lbfgs,relu,100000,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,0078b2e5-5f2d-402e-a33a-1bf643d5e715,"[500, 20]",lbfgs,relu,100000,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,73da31e3-868b-49f8-a067-da80ac0e8ccd,"[1000, 20]",lbfgs,relu,100000,0.001
