fID,eID,K,weights,algorithm,Dask Used,Preprocessing Technique,Classifier,Rows,Columns,Classes,Accuracy,F1 Score_1,Precision_1,Recall_1,F1 Score,Precision,Recall,time
51d170bf-4964-4990-b3b1-6cb4310b1e4a,ecafe9a1-c5ba-40f8-942d-f9ee3af5d56b,15,distance,auto,FALSE,None,KNN,1000,21,2,0.652,0.779746835,0.709677419,0.865168539,0.779746835,0.709677419,0.865168539,0.007498059
51d170bf-4964-4990-b3b1-6cb4310b1e4a,a3a4f7e0-b176-46c2-adda-ca1dab764e6a,15,distance,ball_tree,FALSE,None,KNN,1000,21,2,0.652,0.779746835,0.709677419,0.865168539,0.779746835,0.709677419,0.865168539,0.005518648
51d170bf-4964-4990-b3b1-6cb4310b1e4a,5ed57d42-48b4-404d-816c-c5065d273a88,15,distance,brute,FALSE,None,KNN,1000,21,2,0.652,0.779746835,0.709677419,0.865168539,0.779746835,0.709677419,0.865168539,0.001796268
51d170bf-4964-4990-b3b1-6cb4310b1e4a,d2d8be45-b95c-4372-ac33-4f4669fb3f31,17,uniform,auto,FALSE,None,KNN,1000,21,2,0.7,0.814814815,0.726872247,0.926966292,0.814814815,0.726872247,0.926966292,0.00725714
51d170bf-4964-4990-b3b1-6cb4310b1e4a,22121061-01be-4db7-9dbd-a3324892a506,17,uniform,ball_tree,FALSE,None,KNN,1000,21,2,0.7,0.814814815,0.726872247,0.926966292,0.814814815,0.726872247,0.926966292,0.005720866
51d170bf-4964-4990-b3b1-6cb4310b1e4a,e6f066f1-3c65-4f81-9b1a-65cf5fe20bdc,17,uniform,brute,FALSE,None,KNN,1000,21,2,0.7,0.814814815,0.726872247,0.926966292,0.814814815,0.726872247,0.926966292,0.002250886
51d170bf-4964-4990-b3b1-6cb4310b1e4a,580c2971-01a2-4efa-8c3b-0af943971c91,17,distance,auto,FALSE,None,KNN,1000,21,2,0.656,0.785,0.707207207,0.882022472,0.785,0.707207207,0.882022472,0.007483251
51d170bf-4964-4990-b3b1-6cb4310b1e4a,6b01bc60-be98-431e-aea8-5826173f2adf,17,distance,ball_tree,FALSE,None,KNN,1000,21,2,0.656,0.785,0.707207207,0.882022472,0.785,0.707207207,0.882022472,0.005398333
51d170bf-4964-4990-b3b1-6cb4310b1e4a,25cf43dc-1a98-414d-9a65-f38b64c9fe84,17,distance,brute,FALSE,None,KNN,1000,21,2,0.656,0.785,0.707207207,0.882022472,0.785,0.707207207,0.882022472,0.001902796
51d170bf-4964-4990-b3b1-6cb4310b1e4a,4b9fef24-5502-493c-a0f8-42433d4b6fb4,19,uniform,auto,FALSE,None,KNN,1000,21,2,0.692,0.809876543,0.72246696,0.921348315,0.809876543,0.72246696,0.921348315,0.007105827
51d170bf-4964-4990-b3b1-6cb4310b1e4a,44fe97c2-b831-4a8b-beae-37b88f5975e4,19,uniform,ball_tree,FALSE,None,KNN,1000,21,2,0.692,0.809876543,0.72246696,0.921348315,0.809876543,0.72246696,0.921348315,0.005509938
51d170bf-4964-4990-b3b1-6cb4310b1e4a,aa435401-04a1-4198-aebf-7273b1bc886f,19,uniform,brute,FALSE,None,KNN,1000,21,2,0.692,0.809876543,0.72246696,0.921348315,0.809876543,0.72246696,0.921348315,0.002023961
51d170bf-4964-4990-b3b1-6cb4310b1e4a,a1d6527b-75d7-4a69-8d34-5d1788c3e05f,19,distance,auto,FALSE,None,KNN,1000,21,2,0.664,0.791044776,0.709821429,0.893258427,0.791044776,0.709821429,0.893258427,0.007105619
51d170bf-4964-4990-b3b1-6cb4310b1e4a,4abe599c-3172-4192-9feb-f82efadec2aa,19,distance,ball_tree,FALSE,None,KNN,1000,21,2,0.664,0.791044776,0.709821429,0.893258427,0.791044776,0.709821429,0.893258427,0.005453028
51d170bf-4964-4990-b3b1-6cb4310b1e4a,6b27d878-d4db-4739-82fd-473d9a5acee3,19,distance,brute,FALSE,None,KNN,1000,21,2,0.664,0.791044776,0.709821429,0.893258427,0.791044776,0.709821429,0.893258427,0.001948505
51d170bf-4964-4990-b3b1-6cb4310b1e4a,f0aafcfb-a3fd-46f9-a8e1-fc53f23491be,21,uniform,auto,FALSE,None,KNN,1000,21,2,0.704,0.819512195,0.724137931,0.943820225,0.819512195,0.724137931,0.943820225,0.007256574
51d170bf-4964-4990-b3b1-6cb4310b1e4a,99176bda-6d35-4fcb-98a0-19b378b72ce6,21,uniform,ball_tree,FALSE,None,KNN,1000,21,2,0.704,0.819512195,0.724137931,0.943820225,0.819512195,0.724137931,0.943820225,0.005535072
51d170bf-4964-4990-b3b1-6cb4310b1e4a,cfe20a29-eb23-4f5a-8162-db0124fc639e,21,uniform,brute,FALSE,None,KNN,1000,21,2,0.704,0.819512195,0.724137931,0.943820225,0.819512195,0.724137931,0.943820225,0.001944291
51d170bf-4964-4990-b3b1-6cb4310b1e4a,491169d2-4da5-4fa3-9a5b-75bdd286e82f,21,distance,auto,FALSE,None,KNN,1000,21,2,0.668,0.793017456,0.713004484,0.893258427,0.793017456,0.713004484,0.893258427,0.007120228
