fID,eID,C,Kernel,Degree,Tolerance
51d170bf-4964-4990-b3b1-6cb4310b1e4a,6ffd1994-5e25-40c9-a88b-7ce5f7d2210f,11,linear,8,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,0b70e9dd-e6e2-4b3a-9bfa-96ecb9e3fdf4,21,rbf,3,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,c09bec1e-a305-46ee-a0ba-716b9b0cac4c,21,rbf,3,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,da902082-a93e-4d6e-98e2-8d434df01221,21,rbf,4,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,f8e42888-f6f8-4065-8612-df059c4a1cea,21,rbf,4,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,d24e5e6b-c9c0-4d5a-af00-bf0f573311c7,21,rbf,5,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,4831a0ac-0ca2-4741-9768-88d4ed7978d9,21,rbf,5,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,4e7489aa-c23c-4b51-bf24-61dd23f4bc85,21,rbf,6,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,82c51997-8d0b-42c0-a6e4-06821df85ef2,21,rbf,6,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,d856ce99-1a6e-4af7-ab15-e534e895a652,21,rbf,7,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,8986cab6-2cd5-4427-b09f-ddaa1f893461,21,rbf,7,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,1c402957-6e13-40f2-9341-3013d28c52d4,21,rbf,8,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,5b4ae0b7-51ad-4a34-ab43-67cbaaa78e2e,21,rbf,8,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,a44c45e3-d6a3-4a1a-ac1d-0b73afe99ea9,21,linear,3,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,76065202-f5e7-442c-881f-7177479a68a5,21,linear,3,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,242c5617-f536-417a-9cc9-0ee6eaa37861,21,linear,4,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,2018e6e2-119b-4b7f-a82f-6f31afb15654,21,linear,4,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,da1c0501-c9a9-461f-b848-cf6f3d0fdd9c,21,linear,5,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,2ea0043c-fa74-4c19-b219-13ba79f8414a,21,linear,5,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,8437a60b-c2ec-4d1d-802a-378263d15e46,21,linear,6,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,393e857f-0139-4ba5-8459-90c506a30271,21,linear,6,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,c4ccc865-2887-4298-946c-6a7743c94dbb,21,linear,7,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,19103db2-8d0d-4f7e-9014-80064cfc2292,21,linear,7,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,0fb0818c-47e5-41e1-b39f-4f0a98489b00,21,linear,8,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,119abb92-2015-48ab-8f90-df2f94d1dcbe,21,linear,8,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,9a7cfb4e-d9d1-4f23-89d3-46383eed581d,31,rbf,3,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,ff5d30ff-6e4d-478d-923e-7ef3055ffc16,31,rbf,3,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,48bb930b-6c29-4553-a6d3-d300ce1b67f9,31,rbf,4,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,c392f8a4-b398-4209-a947-75d5c7d95854,31,rbf,4,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,8573e2da-0de0-4775-82b3-e5920f0782b4,31,rbf,5,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,69280a65-247a-4cb5-9224-90e187973da9,31,rbf,5,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,db56548e-00ab-480e-94f3-4286cc725aeb,31,rbf,6,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,0959c4f7-8221-4149-95d3-cf260fe40420,31,rbf,6,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,037aa4ef-ed3a-43f8-b1c7-124986adfd0b,31,rbf,7,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,b004b4c2-244f-495f-9691-9162470a70d2,31,rbf,7,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,84d1e367-b91f-456b-b45d-fd53d92856ca,31,rbf,8,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,e54f61ab-62df-4abb-a565-07be6edd98c8,31,rbf,8,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,c5bd65f5-8ee4-4beb-9316-5c4e2b72aedf,31,linear,3,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,06712674-6ecc-45c1-b884-2487b4d5449d,31,linear,3,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,a0041fa5-d420-44f9-96bb-abe5561be136,31,linear,4,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,8e54af18-99bf-4a08-8a32-aa737ded231f,31,linear,4,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,868e1394-9ba1-44a9-84d1-e0a9742766d4,31,linear,5,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,e750340a-feaf-4447-8f03-ef149b917019,31,linear,5,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,94577cca-c6d9-496f-b2e3-3492d6b7f97f,31,linear,6,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,a4ace4f4-8683-4971-b79d-8fd2ca6ee430,31,linear,6,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,ff0204eb-abe4-4bbc-ba53-bf43ef3d3c8f,31,linear,7,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,c70f5ef0-f870-4316-8d21-e01dd93a4501,31,linear,7,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,0b6e47e4-0abc-487d-9074-196270cabc1b,31,linear,8,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,677abd08-a624-48f8-8ec9-9e362d5a0e69,31,linear,8,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,50df844e-0514-4e3a-8298-f08611f953f1,41,rbf,3,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,6814b46b-757b-403e-a421-3f9529a90225,41,rbf,3,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,9be482cb-e222-4a90-95b5-3e7b39ecbcdd,41,rbf,4,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,8ded487a-b9be-45f3-969d-6e3f81573fc0,41,rbf,4,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,1ab49385-a05b-4919-b689-1056939b0bc6,41,rbf,5,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,25e513cb-8c70-4f53-8f14-2c45a8a45227,41,rbf,5,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,a5930d65-a86d-404b-8f05-658a7fb94877,41,rbf,6,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,e8b430d7-c74c-492c-b936-79e02934678f,41,rbf,6,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,6139092d-22cb-48ac-9773-2459410c1897,41,rbf,7,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,72205022-5fdb-4488-8339-894f61e4e78e,41,rbf,7,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,c200bed2-ff0e-4334-a5f3-0c8bc34fb7fa,41,rbf,8,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,b8060ad1-1dc7-455c-98e3-818f54b604ec,41,rbf,8,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,5f45ea22-7f3a-407e-b79a-84fdad76e5c9,41,linear,3,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,4fd1a51d-e0c9-4c98-8502-b428f0daaf6a,41,linear,3,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,18c2b7b3-53fe-430c-a743-d5c67a5a2e6c,41,linear,4,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,e30f86ec-7f1c-4503-9e5d-a9c3edf06396,41,linear,4,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,b1a944ee-652d-4dec-8902-b54268b3e30b,41,linear,5,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,cb7f061d-0672-4e20-a39d-4872f705ae2b,41,linear,5,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,625b8a4f-7d29-4f9e-8616-d8580e25ce91,41,linear,6,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,23f4e8c4-6af7-4e0d-a270-d4dfaaa47c35,41,linear,6,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,bb4522ed-f2be-4cf1-bdd7-604c394a841d,41,linear,7,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,2bba5b95-b58b-4a12-93b1-4bcd5c2ddbcb,41,linear,7,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,94f9c145-3cef-4218-983f-07d1eb81bbab,41,linear,8,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,5373ba9a-0627-48a8-9e01-fd6ad1042a51,41,linear,8,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,bd48d4c4-9d39-4bcc-823e-753e5027c2b6,1,rbf,3,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,376b3465-7ca7-4f58-9ab0-e524ec22327a,1,rbf,3,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,d0a68cb6-1eb2-4aca-9ae0-4468e3825878,1,rbf,4,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,7c158c5b-722d-483a-a4e4-54e644159fe7,1,rbf,4,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,666896aa-59d7-4e90-b186-3331cd3aad05,1,rbf,5,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,16f0b569-a205-4857-bb4b-b22c4358b439,1,rbf,5,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,e71a423d-c718-4baa-ac13-23f48046ac81,1,rbf,6,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,4f8f399a-581a-4976-85aa-a37f19778139,1,rbf,6,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,0fb1b756-7e2e-4429-8ce4-4304bb04b4f9,1,rbf,7,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,5fff2a86-e8d2-400d-93bb-93e3e979620a,1,rbf,7,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,4b89f198-a687-4c2f-8f31-111565c9c2dd,1,rbf,8,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,db6e1e15-c76b-4bc5-a965-7d874360fa12,1,rbf,8,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,d57d9e59-9c8b-4689-8faa-88b8081e6c04,1,linear,3,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,1e0458db-fdb9-4c08-aa0a-716867a982d2,1,linear,3,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,ca44da8a-8a12-4fad-9cee-a813e597614b,1,linear,4,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,0a15bdbb-8113-40e1-820b-b8269aabcca9,1,linear,4,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,5e2fe6a8-1eee-4865-83a3-adfc062ad470,1,linear,5,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,47fc3f37-347d-466d-9bee-fce1d88db314,1,linear,5,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,3278bc35-6147-41be-973a-639d486d742e,1,linear,6,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,3494ea63-550e-405f-ba99-2b9af25d05f8,1,linear,6,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,1fff50e3-17fc-469c-b84f-188f7ed68ccc,1,linear,7,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,4c6bbc13-98bf-4f62-93c8-00b20282c722,1,linear,7,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,0af1049f-511a-4478-9fb6-9c6796926258,1,linear,8,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,b2c47969-8aab-4595-99fa-f4fa22e08eb7,1,linear,8,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,73755c99-2315-4f6e-8628-4841d1f6dc25,11,rbf,3,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,b352d28c-242b-40ee-bcbb-6be2cff71370,11,rbf,3,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,0909d434-a361-40ef-8cf6-4e28caf00f0e,11,rbf,4,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,ca546341-f8b4-4e72-9e4c-6af62ce0742a,11,rbf,4,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,3249379d-d96b-4324-82fd-fc5b2d1fc088,11,rbf,5,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,cd7d8eff-bb03-4314-b48c-2a959aae8e10,11,rbf,5,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,b5d13a59-f810-4361-a13e-2df86a168a3a,11,rbf,6,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,0f144c7c-04b8-4f56-a7d1-f97870327f5a,11,rbf,6,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,32014cc3-aa73-43ad-8345-8bb230e22bf3,11,rbf,7,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,14867f17-93c2-4b8a-9dae-01d98d72ac06,11,rbf,7,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,47a21d18-3149-4465-97d0-f0c38e35fcac,11,rbf,8,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,4094680b-921b-438f-804b-06df830ded47,11,rbf,8,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,25e1f078-f8cd-40a0-a2c3-8073ce334c78,11,linear,3,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,09273a46-6760-4603-a1e5-998afa6bd892,11,linear,3,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,0f53fc08-6fea-4baf-8857-04ed16ff843c,11,linear,4,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,c9c17d1d-9285-4245-baa8-537e33126b9c,11,linear,4,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,b5582e3d-5498-458d-aa93-fc1e6a99dffe,11,linear,5,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,b06ed5b6-5868-40c7-b870-155c8da3f3d5,11,linear,5,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,4c983123-f21d-4384-b79f-8d6c95ec036e,11,linear,6,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,09b6c518-6fb5-4141-afa0-7108de436bfe,11,linear,6,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,d180e911-5304-4b21-b9ed-7851932f77ef,11,linear,7,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,38897808-4a52-4cab-920a-967376a92bde,11,linear,7,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,3d09976f-d770-482f-9ff1-07fe7fe16852,11,linear,8,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,6680a792-7775-4022-9f8b-acf440309d71,11,linear,8,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,5281c337-7fcc-446c-b1f2-0921e8917a42,21,rbf,3,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,3db44b7a-a544-4496-99bb-5a3b69b9bdbc,21,rbf,3,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,802639d4-abb3-4c4d-9309-8de1000aa873,21,rbf,4,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,b1a7cda6-9c9f-4e8a-9b61-c7fced29440e,21,rbf,4,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,decabc2a-0764-4dd6-9e95-4ca354e27ab3,21,rbf,5,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,8a0ab724-3a64-4cd3-a121-f4d715b606ba,21,rbf,5,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,9d0d167a-de77-4832-89aa-977848ffb871,21,rbf,6,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,a3e4c4b5-0476-4c88-adf4-afa9224c41c1,21,rbf,6,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,f2d414d1-3b2f-43d9-86da-3c0a950ba948,21,rbf,7,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,37918110-a2d1-4c19-a403-4ac0b508552e,21,rbf,7,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,12483271-f23d-4d82-aaa4-ed34865e9af6,21,rbf,8,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,e2bb2565-6a36-4556-a9d0-1a96894e428d,21,rbf,8,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,19c7d70c-e7a7-41a6-9eba-09422e409986,21,linear,3,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,86b42929-902e-4e75-973b-a828f3d775c3,21,linear,3,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,f0a26788-7b08-44cd-b4cd-3471fbb498c1,21,linear,4,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,9f1fb135-76b7-4c58-ae29-0fdb74725b5f,21,linear,4,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,775ced67-f19c-4547-a77f-e3ee66c6d500,21,linear,5,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,88fd19bc-1a62-44f6-8435-2600040eae16,21,linear,5,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,161b667f-b38c-4847-bc02-0409215ff2bc,21,linear,6,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,57610cba-3b6c-4a48-b60e-8581c97e08f5,21,linear,6,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,0b34a874-45f3-40b6-9d1a-a90537ca93fd,21,linear,7,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,5b036d5c-519c-4e74-8e9a-3892d09200cc,21,linear,7,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,0eb54d6b-2e74-4135-a666-6871862ab7d4,21,linear,8,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,d2758c32-4152-4597-8bdf-ee7dbda38234,21,linear,8,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,2c25d12f-5919-4030-9b00-d1f10739e87b,31,rbf,3,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,a472f6aa-a060-4319-98b0-c017c1b098c9,31,rbf,3,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,fd9b75dd-a932-401a-92a2-bd56dc88f5c8,31,rbf,4,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,26165f7d-36f7-4cc1-8696-cb4ea1186a58,31,rbf,4,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,af0cbbdb-ec6a-4953-a6fd-eedaa669f6d2,31,rbf,5,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,2d1b38c0-5863-416b-a8f9-381be413255a,31,rbf,5,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,b0f09cbe-f38b-4b60-820b-439b97f1c3d4,31,rbf,6,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,3165f517-1bea-4b1a-92ab-55a884012feb,31,rbf,6,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,a88e4bdb-b9c0-478b-b3a7-04a4f10f4fd2,31,rbf,7,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,20a9e41d-f8a7-4693-a2f7-f0e9ea183bbf,31,rbf,7,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,3e102388-1dac-4cb1-b5dd-4a256d2dd5ae,31,rbf,8,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,91742541-7584-4243-be34-75ebc3c75f1c,31,rbf,8,0.001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,681984cd-4743-4675-8e8d-021a2ac2b1d6,31,linear,3,0.0001
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,e4d2dbe7-f1be-4289-af7a-444e838c34ae,31,linear,3,0.001
